ID_NUMBER,TYPE,COMPANY,MODEL,FUEL,YEAR,DRIVEKM,PRICE
27188819,경차,쉐보레(GM대우),더 넥스트 스파크,가솔린,2017,20316,840
27122865,경차,기아,올 뉴 모닝 (JA),가솔린,2019,4776,1240
27018266,경차,쉐보레(GM대우),더 넥스트 스파크,가솔린,2016,101078,490
27521801,경차,기아,올 뉴 모닝 (JA),가솔린,2018,25204,890
27348650,경차,기아,더 뉴 모닝,가솔린,2016,28000,760
27357743,경차,기아,더 뉴 레이,가솔린,2018,20300,1170
27260271,경차,쉐보레(GM대우),스파크,가솔린,2011,78000,360
27441066,경차,기아,더 뉴 모닝,가솔린,2015,29371,690
26966062,경차,쉐보레(GM대우),더 넥스트 스파크,가솔린,2015,41212,570
27222011,경차,쉐보레(GM대우),더 뉴 스파크,가솔린,2018,36900,890
27222118,경차,기아,올 뉴 모닝 (JA),가솔린,2017,32150,890
27499160,경차,기아,올 뉴 모닝,가솔린,2013,76210,330
27490554,경차,기아,더 뉴 레이,가솔린,2019,18783,1360
27117315,경차,쉐보레(GM대우),스파크,가솔린,2011,102915,320
27153080,경차,기아,뉴모닝,가솔린,2010,85328,280
27324895,경차,기아,뉴모닝,가솔린,2008,88139,220
27396871,경차,기아,올 뉴 모닝,가솔린,2014,47434,580
27442611,경차,기아,올 뉴 모닝,가솔린,2013,58963,530
27452003,경차,기아,올 뉴 모닝 (JA),가솔린,2017,17383,780
27452119,경차,기아,올 뉴 모닝,가솔린,2012,109229,470
27477586,경차,쉐보레(GM대우),스파크,가솔린,2012,42735,430
27486520,경차,쉐보레(GM대우),스파크,가솔린,2011,59156,380
27517410,경차,쉐보레(GM대우),스파크,가솔린,2012,50578,380
27483313,경차,기아,더 뉴 모닝,가솔린,2016,19863,749
27460467,경차,기아,올 뉴 모닝 (JA),가솔린,2018,21000,1050
27429641,경차,쉐보레(GM대우),스파크,가솔린,2013,76876,430
27369797,경차,기아,올 뉴 모닝,가솔린,2011,37742,530
27343534,경차,기아,올 뉴 모닝 (JA),가솔린,2019,8000,930
27295119,경차,기아,올 뉴 모닝 (JA),가솔린,2019,7000,980
27233210,경차,기아,올 뉴 모닝 (JA),가솔린,2017,37783,799
27175650,경차,기아,뉴모닝,가솔린,2010,92800,180
27037373,경차,기아,올 뉴 모닝 (JA),가솔린,2017,110033,499
27393330,경차,기아,올 뉴 모닝,가솔린,2013,45829,730
27506227,경차,기아,더 뉴 모닝,가솔린,2016,33749,420
27475285,경차,기아,더 뉴 모닝,가솔린,2016,36268,420
